input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
Let the Brits take care of it They re leaderless Theresa May on the way out They should be part of strike for No Float Fly zone but not on their own Like it or not this is scrap between the US Iran We need to dominate Not go to war But break their ability to do this,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
Thank you yes thought provoking and important,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
At the slightest consideration of effectively opposing the Left Claire Lehmann steps in to denounce any attempt by Middle America to take back their country and win Frauds like Lehmann are here to make sure we lose and remain contained,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
They have to go back,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
the brainwashing of white people never stops,Explicit White Supremacism,Explicit White Supremacism,Implicit White Supremacism,2,2,1,1,1,1,1
was critical of Spencer in the past but all of the low IQ anti Spencer stuff has made me realize just how great he is The losers and blackpillers hate Spencer because he has vision and they want nothing more than to pull everyone down to their level Thanks Heelturn,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Same in the United Kingdom Police media and politicians are all complicit,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Rhodesia 400 whites killed 59 in plane crash 15 000 blacks killed Kenya Mau Mau uprising 95 whites killed 13 000 blacks Namibia 10s of whites killed 11 000 blacks killed have no idea why the EFF BLF keep pushing for war,Other hate Speech,Implicit White Supremacism,Implicit White Supremacism,3,1,1,1,1,1,1
no interview with police no court record about any such abuse ex attempting to restore relationship after the date of so called abuse pls,Neutral,Other hate Speech,Explicit White Supremacism,0,3,2,0,1,1,1
Apparently someone got the screencap from when it was originally posted gonna check to see if it lines up with the starting of the shooting or if it was posted after,Neutral,Implicit White Supremacism,Implicit White Supremacism,0,1,1,0,1,1,1
Happy three days before Independence Day,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
Who in heaven name convinced the abortion bill was winner amongst Lib core base Was it set up Did she owe the greens,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
That interconnected globalized cabal is made up of mostly millionaire billionaire and trillionaire men in other words the patriarchy We can all take solace in that they care little of us whether male or female,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
The comments on the plight of White South Africans by The Rev Hon Fred Nile MLC leader of the Christian Democratic Party are to be congratulated He has rightly pointed out that White South Africans are being unfairly persecuted and suffering violence everyday whitegenocide,Implicit White Supremacism,Other hate Speech,Explicit White Supremacism,1,3,2,1,1,1,1
The White Population is Growing in Many Cities for the First Time in Years Read more,Implicit White Supremacism,Explicit White Supremacism,Neutral,1,2,0,1,1,0,1
WaPo has roaches,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Can find it in the Law Gazette can you,Neutral,Neutral,Other hate Speech,0,0,3,0,0,1,0
More FakeH8,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
25 000 Fake Child Refugees in France Cost 800 million Per Year via,Other hate Speech,Implicit White Supremacism,Neutral,3,1,0,1,1,0,1
He will be gamma male,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
You too,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Never Forget Means Never Forget,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Is embarrassing amp,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Can confirm anything ATM,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The Nightmare Of An America Ruled By AOC And Her Socialist Pals,Neutral,Other hate Speech,Other hate Speech,0,3,3,0,1,1,1
Jews Freak Out after German Policemen Play Goebbels Speech on Radio at G7 Summit Read more via,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
Circumcision in Iceland,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Community nurse who wants high quality of life for all except white women There finished the scentence you were too timid to complete It OK no thanks needed Just do better next time,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Christian Zionist lobby is built on anti Semitic theology via,Implicit White Supremacism,Neutral,Other hate Speech,1,0,3,1,0,1,1
In light of what happened to here reminder that there large network of journalists with direct connections to antifa that will promote cover for them over this Pay very close attention to who makes excuses for the attacks,Explicit White Supremacism,Neutral,Other hate Speech,2,0,3,1,0,1,1
BREAKING Trump Administration To Provide Name of Saudi Official Who Allegedly Helped 11 Hijackers,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
It truism that power will be taken by whoever you forfeit it to give power to the judge and the judge becomes your master So who do you most trust to enforce power to benefit your people That what makes this basic question so interesting,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
Hello,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
That us not what they re saying and you know that,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
Thinking about joining the military just to say as veteran before spewing vapid bullshit,Implicit White Supremacism,Other hate Speech,Explicit White Supremacism,1,3,2,1,1,1,1
True We are missing how they actually desecrated the cow,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
Thank you had not miss Paul Weston on twitter he talks so much sense need to get on some other platforms which is that one from,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
You just proved our point Racist is just hate slur hurled at white people who object to their own demographic replacement,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
